"legacy URL","title","year","parsed VIN","price","mileage","image count","target status","warnings","normalized fields","normalization changes"
"https://www.ycautousa.com/2023-FORD-F150-RAPTOR-CREW-CAB-p.html","2023 Ford F-150 Raptor Crew CAB","2023","1FTFW1RG7PFB76730","$68,000","19103","9","available","","Ford; F-150 Raptor Crew; GRAY; 4WD; Automatic","title capitalization normalized; FORD normalized to Ford; AUTO normalized to Automatic"
"https://www.ycautousa.com/2019-INFINITI-QX60-PURE-AWD-p.html","2019 Infiniti Qx60 Pure AWD","2019","5N1DL0MM9KC506204","$10,300","139000","8","available","","Infiniti; Qx60 Pure; BLACK; AWD; Automatic","title capitalization normalized; INFINITI normalized to Infiniti; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-Toyota-Sienna-LE-AWD-p.html","2023 Toyota Sienna LE AWD","2023","5TDKSKFC9PS080194","$39,100","21662","10","available","","Toyota; Sienna LE; BLUE; AWD; Automatic","TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2017-Lexus-RX-350-p.html","2017 Lexus RX 350","2017","2T2BZMCA8HC129983","$19,100","128599","9","available","","Lexus; RX 350; BLUE; AWD; Automatic","LEXUS normalized to Lexus; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-Ram-ProMaster-2500-High-Roof-1590-WB-p.html","2023 RAM Promaster 2500 High Roof 159.0","2023","3C6LRVDGXPE506189","$31,100","38000","11","available","","Ram; Promaster 2500 High; WHITE; FWD; Automatic","title capitalization normalized; RAM normalized to Ram; AUTO normalized to Automatic"
"https://www.ycautousa.com/2016-Honda-CIVIC-SEDAN-EX-T-p.html","2016 Honda Civic Sedan Ex-t","2016","19XFC1F35GE026975","$7,800","175000","8","available","","Honda; Civic Ex-t; BLUE; FWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-CHEVROLET-SUBURBAN-LT-p.html","2023 Chevrolet Suburban LT","2023","1GNSCCKDXPR329884","$45,800","36000","12","available","","Chevrolet; Suburban LT; BLACK; 2WD; Automatic","title capitalization normalized; CHEVROLET normalized to Chevrolet; AUTO normalized to Automatic"
"https://www.ycautousa.com/2019-LEXUS-RX350-F-SPORT-p.html","2019 Lexus RX350 F Sport","2019","2T2BZMCA2KC204846","$31,800","82000","8","available","","Lexus; RX350 F Sport; WHITE; AWD; Automatic","title capitalization normalized; LEXUS normalized to Lexus; AUTO normalized to Automatic"
"https://www.ycautousa.com/2024-BMW-X5-p.html","2024 BMW X5","2024","","$45,999","50000","7","available","VIN missing or invalid","Big class 3 test; BMW X5; WHITE; AWD; Automatic","Big Class 3 Test normalized to Big class 3 test; AUTO normalized to Automatic"
"https://www.ycautousa.com/2017-HONDA-PILOT-EX-L-AWD-p.html","2017 Honda Pilot EX-L AWD","2017","5FNYF6H55HB072748","$15,900","131475","7","available","","Honda; Pilot EX-L; BLACK; AWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
"https://www.ycautousa.com/2013-TOYOTA-RAV4-LE-AWD-p.html","2013 Toyota RAV4 LE AWD","2013","JTMBFREV1DD025889","$12,500","116347","12","available","","Toyota; RAV4 LE; WHITE; AWD; Automatic","title capitalization normalized; TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2013-3-SERIES-328I-xDrive-p.html","2013 3 Series 328i Xdrive","2013","WBA3B5C51EP343154","$9,900","77849","12","available","","Big class 3 test; 3 Series 328i; BLUE; AWD; Automatic","title capitalization normalized; Big Class 3 Test normalized to Big class 3 test; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-Rogue-SV-AWD-p.html","2023 Rogue SV AWD","2023","JN8BT3BB1PW471652","$22,900","37398","16","available","","Nissan; Rogue SV; WHITE; AWD; Automatic","NISSAN normalized to Nissan; AUTO normalized to Automatic"
"https://www.ycautousa.com/2024-HYUNDAI-ELANTRA-SE-p.html","2024 Hyundai Elantra SE","2024","KMHLL4DGXRU685578","$19,100","13900","5","available","","Hyundai; Elantra SE; WHITE; AWD; Automatic","title capitalization normalized; HYUNDAI normalized to Hyundai; AUTO normalized to Automatic"
"https://www.ycautousa.com/2013-HONDA-CR-V-EX-L-AWD-p.html","2013 Honda CR-V EX-L AWD","2013","5J6RM4H79DL069952","$11,900","105122","10","available","","Honda; CR-V EX-L; GRAY; AWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
"https://www.ycautousa.com/2011-TOYOTA-CAMRY-4C-4D-SEDAN-LE-p.html","2011 Toyota Camry 4C 4D Sedan LE","2011","4T4BF3EK5BR196128","$12,800","24800","9","available","","Toyota; Camry 4C LE; GRAY; FWD; Automatic","title capitalization normalized; TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-LEXUS-GX460-PREMIUM-p.html","2023 Lexus GX460 Premium","2023","JTJAM7BX6P5341456","$55,300","17500","11","available","","Lexus; GX460 Premium; WHITE; AWD; Automatic","title capitalization normalized; LEXUS normalized to Lexus; AUTO normalized to Automatic"
"https://www.ycautousa.com/2025-MERCEDES-BENZ-GLC300-p.html","2025 Mercedes-Benz GLC300","2025","W1NKM4HB8SF393538","$49,800","641","9","available","","Mercedes-Benz; GLC300; BLACK; AWD; Automatic","title capitalization normalized; BENZ normalized to Mercedes-Benz; AUTO normalized to Automatic"
"https://www.ycautousa.com/2024-ACURA-MDX-AWD-p.html","2024 Acura MDX AWD","2024","5J8YE1H33RL001892","$32,500","80161","10","available","","Acura; MDX; WHITE; AWD; Automatic","title capitalization normalized; ACURA normalized to Acura; AUTO normalized to Automatic"
"https://www.ycautousa.com/2017-Nissan-Altima-p.html","2017 Nissan Altima S","2017","1N4AL3AP4HC234778","$8,800","95000","7","available","","Nissan; Altima S; GRAY; FWD; Automatic","NISSAN normalized to Nissan; AUTO normalized to Automatic"
"https://www.ycautousa.com/2019-BMW-X5-xDrive-p.html","2019 BMW X5 Xdrive","2019","5UXCR6C52KLK88701","$23,500","90807","4","available","","Big class 3 test; BMW X5 Xdrive; BLACK; AWD; Automatic","title capitalization normalized; Big Class 3 Test normalized to Big class 3 test; AUTO normalized to Automatic"
"https://www.ycautousa.com/2017-GLC300-Coupe-p.html","2017 GLC300 Coupe","2017","WDC0J4KB0HF143445","$19,600","75050","14","available","","Mercedes-Benz; GLC300; SLIVE; AWD; Automatic","BENZ normalized to Mercedes-Benz; AUTO normalized to Automatic"
"https://www.ycautousa.com/4-Series-430I-Coupe-p.html","2024 4series 430i Coupe","2024","WBA73AP05RCN59652","$38,000","18000","13","available","","Big class 3 test; 4series 430i; White; AWD; Automatic","title capitalization normalized; Big Class 3 Test normalized to Big class 3 test; AUTO normalized to Automatic"
"https://www.ycautousa.com/2014-Towncountry-Minivan-p.html","2014 Towncountry MINIVAN","2014","2C4RC1CG5ER138432","$3,599","139603","15","available","","Chrysler; Towncountry; BLUE; FWD; Automatic","title capitalization normalized; CHRYSLER normalized to Chrysler; AUTO normalized to Automatic"
